WAV Files

Path	Format Tag	Num Channels	Channel Mask	Sample Rate	Avg Bytes Per Sec	Block Align	Bit Depth	Num Samples

\SFX\54748__satoration__french-men-in-the-deep-night (mp3cut.net).wav	0xFFFE	2	0x00000003	44100	264600	6	24	669042
\SFX\573826__trp__cruise-ship-horn-harbour-saint-john-191003.wav	0xFFFE	2	0x00000003	48000	192000	4	16	1013683
\SFX\Breath.wav	0xFFFE	2	0x00000003	48000	384000	8	32	142181
\SFX\Builder_Game_Footstep_Walk_Snow_1.wav	0xFFFE	2	0x00000003	44100	176400	4	16	19239
\SFX\Builder_Game_Footstep_Walk_Snow_2.wav	0xFFFE	2	0x00000003	44100	176400	4	16	18533
\SFX\Builder_Game_Footstep_Walk_Snow_3.wav	0xFFFE	2	0x00000003	44100	176400	4	16	18775
\SFX\Builder_Game_Footstep_Walk_Snow_4.wav	0xFFFE	2	0x00000003	44100	176400	4	16	18702
\SFX\Builder_Game_Footstep_Walk_Snow_5.wav	0xFFFE	2	0x00000003	44100	176400	4	16	19951
\SFX\Builder_Game_Footstep_Walk_Snow_6.wav	0xFFFE	2	0x00000003	44100	176400	4	16	20352
\SFX\dampfsto-bk6ymjc7.wav	0xFFFE	2	0x00000003	44100	176400	4	16	441000
\SFX\make-a-steam-engine-hissi-ycw5qslc.wav	0xFFFE	2	0x00000003	44100	176400	4	16	2097152
\SFX\steam-valve-releasing-sof-gyxpckcr.wav	0xFFFE	2	0x00000003	44100	176400	4	16	441000
\SFX\Thunder close.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1215024
\SFX\Trim_Beach_Ocean_.wav	0xFFFE	2	0x00000003	96000	576000	6	24	3840000
\SFX\Trim_GAF SFX04 - LIQUIDS - Ocean Water Movement Close_01.wav	0xFFFE	1	0x00000004	96000	288000	3	24	3840000
\SFX\Trim_W 04 Water_24_Splashing, Sailing, Small, Fishing, Ship_T03_01.wav	0xFFFE	2	0x00000003	48000	288000	6	24	1478606
